lengthClass,X2016-31-01,X2016-18-05,X2016-09-08,X2016-15-10,X2017-11-02,X2017-26-05,X2017-30-07,X2017-14-10
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,1,,,,,,
13,,2,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,3,,,,,,
17,,2,,,,,,
18,,1,,,,,,
19,,2,,,,,,
20,,2,1,,,3,,
21,,1,,,,2,,
22,,1,,,,3,,
23,,,1,,,3,,
24,,1,,,,,,
25,,1,7,,,7,,
26,,,,,,1,,3
27,1,,5,8,,,1,3
28,,,4,4,,,3,6
29,1,,4,4,1,,3,7
30,,2,7,3,,,12,8
31,1,,3,3,3,,9,1
32,2,,1,4,,,3,
33,,2,1,6,,1,2,2
34,,1,,1,2,1,,1
35,2,2,2,4,,,,2
36,2,4,2,1,1,4,,2
37,4,3,2,1,1,3,3,2
38,2,1,3,,,3,3,1
39,2,2,,3,1,3,,2
40,1,3,6,5,1,3,4,4
41,2,1,8,9,1,4,1,1
42,,,4,4,2,,1,2
43,1,,5,3,,3,3,
44,,,,3,2,2,,
45,,,2,3,2,1,,1
46,2,,,2,,3,2,2
47,,,,,,1,1,
48,,,,1,1,,,
49,,,,,,,1,
50,,,,,2,1,,
51,,,,,1,,1,
